,follower_count,following_count,mentions_received,reposts_received,mentions_sent,reposts_sent,posts,platform,CPP
1301,1834007,773,1674.26690878,388.426427249,29.3318518028,7.30829344579,17.6597096249,1,36680.14
4697,4947410,112,1774.21392717,830.899475371,0.100503358535,0.100503358535,0.100503358535,0,49474.1
4296,322682,37601,176.533715916,42.3302213798,6.84922722869,1.3450733981,4.35986544828,1,6453.64
3221,221001,906,3933.23800737,1574.38645056,0.339522140564,0.100503358535,12.7373300964,0,2210.01
2881,125438,983,55.1372659579,23.4461396366,2.25139829697,0.100503358535,7.2079084546,0,1254.38
3518,203788,1069,1043.23595348,558.213656192,20.6436432941,1.37120787076,22.2313859611,2,4075.76
1686,3302480,550744,936.636126376,206.101772388,41.3171893605,0.595962080709,42.8137044787,1,66049.6
2775,580544,2799,296.978205315,135.831428625,15.0330256841,4.80717981227,8.26206312673,2,11610.88
3639,57840,27137,271.759860328,35.9558041591,13.0793877781,0.100503358535,12.6428812457,0,578.4000000000001
186,723800,328,1695.43019461,317.463664979,3.5810568194,1.85822627025,6.48408594887,2,14476.0
373,6225470,381,16532.6022598,9816.44753602,6.29239324496,4.34021153543,11.8868730892,1,90269.315
2395,103607,53468,48.048702113,25.0929446732,0.100503358535,0.100503358535,0.100503358535,0,1036.07
1464,9542820,2069,4336.3582863,668.570800935,7.37699596965,1.83838072076,3.1136251344,2,119285.25
4999,1607541,93,389.533119657,217.628442156,0.359533601106,0.100503358535,0.84979013175,1,32150.82
5156,266407,1592,660.897263062,297.090332679,28.2579999628,0.839682343383,20.7226649911,2,5328.139999999999
4384,889300,183,3237.31387301,1964.29018677,18.1172813641,0.85260213546,90.1458413467,1,17786.0
286,57840,27137,271.759860328,35.9558041591,13.0793877781,0.100503358535,12.6428812457,1,1156.8000000000002
3411,10422587,147,1892.91438777,678.010953505,0.842497378623,0.100503358535,0.842497378623,2,130282.3375
111,488553,38857,44.9295850425,5.14356577277,2.29966575197,0.571441825748,2.29727556415,0,4885.53
422,1891961,302,1595.79523221,808.303928523,2.47654175221,1.0518461562,7.46288493994,0,18919.61
3093,1404323,563,967.720641729,579.431127684,4.47379849183,0.805680232136,6.24180594033,2,28086.460000000003
3584,33669,29327,128.414854027,23.9196306635,6.5562550178,0.339522140564,12.2922053818,1,673.3799999999999
3959,154082,2615,56.6499801361,20.7487620268,1.31397693307,0.337131952744,1.31161064713,0,1540.82
4715,32342,2622,64.641881773,21.4921308523,22.2502876588,0.583369584856,27.5128375473,2,646.8399999999999
1695,33669,29327,128.414854027,23.9196306635,6.5562550178,0.339522140564,12.2922053818,1,673.3799999999999
358,298668,551,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,1,5973.360000000001
3522,7360339,95,12473.150064,9597.00107289,5.32394729283,1.35362352682,8.26623872778,0,73603.39
967,6292959,145,1940.40792271,620.141659955,2.65149591965,0.595661959326,2.13090878551,2,78661.9875
3233,92462,692,141.503204167,35.2897466154,3.78726278837,0.596412376469,3.04191498134,1,1849.24
1871,126738,779,171.819555176,37.2942852658,4.41132266395,1.53022249247,4.20288258489,1,2534.76
3169,45589,862,148.854279232,36.998883856,27.8817679309,3.33349180419,23.8612817152,2,911.78
566,57840,27137,271.759860328,35.9558041591,13.0793877781,0.100503358535,12.6428812457,2,1156.8000000000002
2845,96531,87,81.5617342573,43.3214649545,6.59024510976,2.3391332378,12.0896446122,0,965.3100000000001
5009,71597,44262,10.4035634589,3.36535463966,0.591205606947,0.100503358535,5.0745674068,2,1431.9399999999998
928,2745543,7828,349.819625135,107.081021087,0.604091150446,0.100503358535,2.39220134212,0,27455.43
3308,177796,0,9.1483841077,5.32269459265,0.100503358535,0.100503358535,0.100503358535,2,3555.92
2647,8168488,76,2821.69423405,787.511274161,2.60521066322,0.583369584856,2.38168711194,2,102106.1
159,53678,1751,191.438869699,62.7249449229,0.100503358535,0.100503358535,0.100503358535,0,536.78
686,1445520,260,52.1790895658,13.5647223441,3.46356134255,1.06212017228,2.77127001244,2,28910.4
5308,504004,3109,311.8003107,142.633228932,4.4860901625,1.04940792319,4.8068233239,1,10080.08
4363,44027,113,45.2042215224,20.3689668816,1.11615836228,0.100503358535,0.859718422134,0,440.27
4287,265258,209,631.915946309,457.648549848,5.46098548773,0.100503358535,7.49812649824,2,5305.16
4909,28613,3557,0.75143425077,0.295998478572,0.100503358535,0.100503358535,0.100503358535,0,286.13
1618,48777,858,247.238745401,74.1034922474,3.03169565479,1.81674611367,21.1756960799,1,975.54
5101,298668,551,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,1,5973.360000000001
836,298668,551,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,0,2986.6800000000003
21,4947410,112,1774.21392717,830.899475371,0.100503358535,0.100503358535,0.100503358535,2,98948.2
4782,48711,22845,61.9248042388,18.5789010899,0.100503358535,0.100503358535,0.100503358535,1,974.22
1764,158467,154157,299.60787906,80.1902863889,0.100503358535,0.100503358535,0.100503358535,2,3169.34
4533,7360339,95,12473.150064,9597.00107289,5.32394729283,1.35362352682,8.26623872778,2,92004.2375
2069,828774,904,374.369869253,95.2745611912,2.57321391025,1.58739658919,2.31418366768,2,16575.48
3152,1352348,331,19129.8486618,14552.7339915,2.06541803294,0.580955253724,16.2815024995,1,27046.96
4391,154830,10613,138.757742448,50.1686980014,3.55783179957,0.341936471695,3.81385000977,0,1548.3000000000002
4929,41765,185,1529.64305757,282.858500112,76.8095144531,5.39217109551,104.438625475,0,417.65
4044,163145,906,182.175568401,78.0432023746,11.6076680412,3.59001979003,9.60515452068,1,3262.9
747,1674046,24246,1560.77045543,561.797879064,4.30041197934,1.08938693801,3.5551939912,1,33480.92
4863,19562,17637,572.874855518,390.2936809,27.5520404128,7.16755674559,32.1019061639,0,195.62
